MON,lat,lon,depth,carbon_ugC_l,SST,BATHY,CHLO,logchlo,logdepth,logBiom
9,69.55,35.217,37.5,3.13572,9.234999794,-157.48032,0.790056527,-0.102341835,1.574031268,0.496337276
9,69.28,36.252,37.5,3.13572,9.184999795,-188.97638,0.829120338,-0.081382432,1.574031268,0.496337276
9,69.25,37.73,37.5,3.13572,9.229999794,-157.48032,0.722280741,-0.141293965,1.574031268,0.496337276
9,69.28,36.252,37.5,3.13572,9.184999795,-188.97638,0.829120338,-0.081382432,1.574031268,0.496337276
9,69.25,37.73,37.5,3.13572,9.229999794,-157.48032,0.722280741,-0.141293965,1.574031268,0.496337276
9,68.5,38.553,37.5,4.92756,8.9699998,-62.992126,1.132198215,0.053922466,1.574031268,0.692631921
9,68.5,38.553,37.5,4.92756,8.9699998,-62.992126,1.132198215,0.053922466,1.574031268,0.692631921
3,69.602,35.38,37.5,11.64696,2.859999936,-157.48032,0.388043851,-0.411119194,1.574031268,1.066212584
3,69.602,35.38,37.5,11.64696,2.859999936,-157.48032,0.388043851,-0.411119194,1.574031268,1.066212584
9,69.152,37.6,37.5,11.64696,9.269999793,-157.48032,0.769217372,-0.113950916,1.574031268,1.066212584
9,69.152,37.6,37.5,11.64696,9.269999793,-157.48032,0.769217372,-0.113950916,1.574031268,1.066212584
